,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,nlp_lyrics,nlp_annotations,valence+nlp,mood
35,Drag You Under,['Cro-Mags'],0.000159,0.512,92192,0.987,0.782,8,0.214,-5.756,0,0.0781,107.95,5,0.374,-0.9423,-0.9423,0.3552,Angry
36,Radial Lacerations,['Sanction'],6.06e-05,0.233,191267,0.923,0.0381,1,0.249,-3.917,1,0.102,171.123,4,0.0592,-0.9661,-0.9661,0.0399,Angry
37,Consider,['Gouge Away'],2.21e-05,0.197,212063,0.94,0.242,8,0.131,-5.44,1,0.0759,129.871,4,0.205,0.7169,0.7169,0.2193,Angry
38,Stale Smoke,['Defeater'],1.21e-05,0.481,202661,0.978,0.482,2,0.317,-3.68,1,0.0763,131.961,4,0.185,-0.9944,-0.9944,0.1651,Angry
39,New Gods,['Giver'],2.78e-05,0.326,141375,0.989,0.00103,8,0.316,-3.767,1,0.115,170.077,4,0.459,0.9559,0.9559,0.4781,Angry
40,Mistakes Like Fractures,['Knocked Loose'],3.9e-05,0.281,221852,0.936,3.65e-06,9,0.33,-3.566,1,0.119,142.818,4,0.193,-0.9509,-0.9509,0.174,Angry
41,Stack 'Em Up,['Purgatory'],0.00144,0.362,208011,0.962,0.0,9,0.335,-3.471,1,0.292,134.187,4,0.355,-0.9912,-0.9912,0.3352,Angry
42,Two Hours,['Cro-Mags'],0.00223,0.514,144257,0.857,0.407,8,0.182,-8.069,0,0.0984,98.012,4,0.562,,,0.562,Angry
43,Numb (Transfuse),['Chamber'],0.000223,0.261,233318,0.985,0.658,7,0.481,-3.644,1,0.24,154.685,4,0.0859,-0.9974,-0.9974,0.066,Angry
44,Changes,['Lock & Key'],0.000113,0.431,154000,0.952,0.00164,1,0.346,-2.067,1,0.126,180.071,4,0.556,0.9182,0.9182,0.5744,Angry
45,Climate Change,['Mortality Rate'],2.32e-05,0.282,110937,0.996,0.0,1,0.399,-2.376,0,0.237,90.485,4,0.0677,0.7845,0.7845,0.0834,Angry
46,Punish,['Jesus Piece'],1.75e-05,0.24,177547,0.965,0.758,7,0.603,-5.183,1,0.182,157.979,4,0.191,-0.9898,-0.9898,0.1712,Angry
47,To Conquer a Fear,['We Struck Gold'],2.29e-06,0.436,215400,0.929,0.00188,6,0.214,-4.883,0,0.0582,100.003,4,0.337,-0.9787,-0.9787,0.3174,Angry
48,Funeral Teeth,['State Faults'],2.86e-05,0.167,123719,0.947,0.933,2,0.326,-3.902,1,0.0603,185.326,4,0.565,-0.8807,-0.8807,0.5474,Angry
49,The Gift of Attack,['Death By Stereo'],0.000858,0.454,155382,0.993,0.0,6,0.355,-1.645,0,0.187,198.105,4,0.422,0.9999,0.9999,0.442,Angry
50,Unforgiven,['Rotting Out'],0.00026,0.454,154199,0.976,0.000681,11,0.764,-4.493,1,0.117,90.024,4,0.317,-0.7025,-0.7025,0.3029,Angry
51,Over the Edge,['Lock & Key'],3.97e-05,0.398,186529,0.956,0.000215,1,0.365,-3.595,1,0.0634,170.015,4,0.405,0.9945,0.9945,0.4249,Angry
52,Peeling Wax (feat. Matt Honeycutt),"['Left Behind', 'Matt Honeycutt']",7.43e-05,0.407,221153,0.984,0.00625,11,0.13,-3.124,1,0.0935,131.392,4,0.298,-0.9952,-0.9952,0.2781,Angry
53,No More Bakeries in Highland Park,['Ass Life'],5.03e-05,0.207,88641,0.966,0.00333,9,0.351,-4.86,0,0.0741,179.659,4,0.303,1.0,1.0,0.323,Angry
54,Canvey,['Reclaimer'],0.000236,0.516,217125,0.904,0.511,2,0.104,-6.263,0,0.0459,120.033,4,0.118,0.039,0.039,0.1188,Angry
55,Anything To Numb,['Varials'],1.24e-05,0.419,191933,0.927,0.775,2,0.427,-4.811,1,0.113,157.986,3,0.277,-0.9956,-0.9956,0.2571,Angry
56,Collages & Collagen,['Pressure Cracks'],3.82e-05,0.298,193946,0.987,0.13,3,0.252,-4.07,1,0.169,142.012,4,0.16,-0.644,-0.644,0.1471,Angry
57,Hidden Hand,['The Lungs'],4.08e-06,0.369,121326,0.978,0.0988,5,0.182,-4.823,0,0.203,180.907,4,0.46,-0.9747,-0.9747,0.4405,Angry
58,Familiar Drugs,['Alexisonfire'],0.00568,0.251,258720,0.896,0.000768,5,0.415,-10.577,1,0.0874,136.953,4,0.167,0.2368,0.2368,0.1717,Angry
59,Lasting Efforts,['Crafter'],0.000131,0.366,214523,0.997,0.0,5,0.103,-3.017,1,0.121,185.013,4,0.0419,1.0,1.0,0.0619,Angry
60,Fire for Water,['Greg Puciato'],3.59e-06,0.285,178252,0.939,0.325,8,0.0616,-4.053,1,0.138,126.779,3,0.13,-0.2427,-0.2427,0.1251,Angry
61,Temple,['Mortality Rate'],4.65e-05,0.149,92175,0.998,0.0,11,0.665,-2.044,1,0.323,170.263,4,0.0387,0.8525,0.8525,0.0557,Angry
62,Drop Your Daggers,['American Arson'],9.11e-05,0.558,247311,0.987,0.0,4,0.362,-5.692,1,0.0984,132.47,4,0.159,-0.9467,-0.9467,0.1401,Angry
63,Apocalypse on the Radio,['Dangerface'],3.02e-05,0.292,230120,0.997,0.753,1,0.122,-3.324,1,0.135,197.001,4,0.19,,,0.19,Angry
64,Sick Statistic,['Year of the Knife'],0.000567,0.236,210941,0.996,2.09e-05,4,0.291,-2.789,1,0.208,157.478,4,0.113,-0.9949,-0.9949,0.0931,Angry
65,Whatever It Takes,['Crafter'],0.0002,0.269,261870,0.991,0.0,0,0.383,-3.158,1,0.138,120.066,4,0.0588,-0.9908,-0.9908,0.039,Angry
66,Mule,['The Good Depression'],3.91e-06,0.392,212291,0.933,0.00117,7,0.344,-4.013,1,0.107,175.082,4,0.489,-0.9841,-0.9841,0.4693,Angry
67,All We Have Is Now,"['Sudden Waves', 'Alex Erian']",0.000238,0.569,104923,0.991,2e-05,7,0.0372,-2.582,1,0.136,100.009,4,0.239,0.9998,0.9998,0.259,Angry
68,A Serpent's Touch (feat. Emma Boster),"['Knocked Loose', 'Emma Boster']",6.13e-05,0.345,182530,0.969,1.19e-05,5,0.34,-2.898,1,0.148,138.672,4,0.288,-0.8126,-0.8126,0.2717,Angry
69,Growing,['Dispeller'],4.04e-05,0.243,187005,0.943,5.76e-06,5,0.334,-4.675,1,0.266,90.54,4,0.161,1.0,1.0,0.181,Angry
70,Reaper,['Rotting Out'],0.000568,0.414,104017,0.937,0.0634,2,0.0719,-4.165,1,0.12,164.99,4,0.383,0.2047,0.2047,0.3871,Angry
71,Scrubber,['Supera Morza'],0.000744,0.183,151920,0.969,1.23e-05,2,0.444,-4.502,1,0.0991,176.141,4,0.0527,0.9897,0.9897,0.0725,Angry
72,Thanks For Nothing,['Bent Life'],0.000992,0.559,153293,0.923,0.0357,6,0.27,-4.114,0,0.0446,170.045,4,0.673,-0.7814,-0.7814,0.6574,Angry
73,Fighting The Slip,['Expire'],5.4e-05,0.367,89733,0.935,2.86e-06,9,0.147,-3.454,1,0.0757,151.539,4,0.729,-0.9411,-0.9411,0.7102,Angry
74,Freedom Dies,['Death Before Dishonor'],0.000803,0.314,199693,0.987,2.29e-05,6,0.0911,-4.222,1,0.205,156.136,4,0.179,,,0.179,Angry
75,Don't Give In,['Cro-Mags'],5.93e-06,0.124,180804,0.976,0.835,11,0.269,-5.597,1,0.117,172.984,1,0.136,-0.9831,-0.9831,0.1163,Angry
76,Old Data in a Dead Machine,['Vein'],6.96e-06,0.283,129775,0.985,0.0136,4,0.868,-3.543,0,0.147,99.592,3,0.315,-0.6979,-0.6979,0.301,Angry
77,No Love From Above,['Death of a Nation'],0.000458,0.264,215445,0.767,1.35e-06,11,0.115,-7.176,0,0.145,74.724,4,0.0742,0.976,0.976,0.0937,Angry
78,NEO,['Ocean Grove'],1.14e-06,0.269,113846,0.962,0.121,11,0.388,-3.534,1,0.0804,172.865,4,0.12,-0.9981,-0.9981,0.1,Angry
79,Front Toward Enemy,['Incendiary'],0.000363,0.411,181153,0.903,0.00101,7,0.0822,-2.22,1,0.0881,124.707,4,0.357,-0.9947,-0.9947,0.3371,Angry
80,Boomslang,['Kublai Khan TX'],3.81e-05,0.429,147134,0.865,0.00204,0,0.125,-3.676,0,0.0619,125.44,4,0.387,-0.4692,-0.4692,0.3776,Angry
81,Apertures (feat. Aaron Gillespie),"['Glass Houses', 'Aaron Gillespie']",0.00159,0.397,223256,0.715,0.0392,7,0.285,-9.4,0,0.0412,172.061,4,0.29,0.9282,0.9282,0.3086,Angry
82,Buried Without a Name,['Single Wound'],0.000927,0.192,232341,0.989,0.0022,6,0.253,-5.87,1,0.295,200.001,4,0.27,-0.9977,-0.9977,0.25,Angry
83,Cowards Will Fall,['Death Before Dishonor'],9.72e-05,0.444,97027,0.988,6.53e-05,6,0.388,-4.411,1,0.113,111.573,4,0.237,-0.9815,-0.9815,0.2174,Angry
84,Ultimate,['Nasty'],0.00047,0.556,151800,0.975,1.06e-05,1,0.318,-5.206,0,0.349,135.096,4,0.115,-0.9793,-0.9793,0.0954,Angry
85,The Electric Drama,['Primitive Weapons'],3.92e-06,0.352,204894,0.954,0.947,7,0.0929,-4.024,0,0.0604,84.988,4,0.187,1.0,1.0,0.207,Angry
86,Somewhere Between You and Home,['The Danger Of Falling'],0.00399,0.264,202667,0.992,1.17e-05,9,0.251,-3.896,0,0.499,180.261,4,0.109,-0.9016,-0.9016,0.091,Angry
87,Self-Destruct,['Kublai Khan TX'],3.48e-05,0.464,139203,0.869,0.0233,8,0.308,-5.046,1,0.0973,82.887,4,0.584,-0.8176,-0.8176,0.5676,Angry
