,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,nlp_lyrics,nlp_annotations,valence+nlp,mood
44,The Solution,"['Sub Zero Project', 'Villain']",0.000589,0.305,201882,0.942,0.0339,6,0.32,-5.672,0,0.463,160.728,3,0.124,-0.9998,-0.9998,0.104,Angry
45,U Got,"['Flash & Dash', 'NOTLEGAL']",0.00335,0.698,126000,0.935,0.0702,11,0.154,-3.276,0,0.0367,125.976,4,0.382,0.9836,0.9836,0.4017,Angry
46,Holy Moly (feat. Terror Bass),"['Carnage', 'Terror Bass']",0.00992,0.354,198417,0.843,0.827,1,0.288,-5.428,1,0.134,150.603,4,0.0887,1,1,0.1087,Angry
47,Game Tight,['Imperatorz'],0.00201,0.578,121875,0.978,0.000369,7,0.323,-1.806,1,0.161,159.916,3,0.539,-0.9999,-0.9999,0.519,Angry
48,Crush 'Em,['Sludge'],0.00134,0.395,179200,0.788,0.00167,9,0.394,-4.562,0,0.0862,150.039,4,0.199,-0.9967,-0.9967,0.1791,Angry
49,Starlight,['BENGR'],0.00567,0.367,226859,0.872,0,7,0.825,-5.362,0,0.0485,155.066,4,0.183,-0.9958,-0.9958,0.1631,Angry
50,Glocks (feat. Milano The Don),"['Riot Ten', 'SAYMYNAME', 'Milano The Don']",0.01,0.646,167150,0.87,0.251,11,0.0966,-4.847,0,0.123,75.066,4,0.204,,,0.204,Angry
51,Deadman - Krimer Remix,"['Vulgatron', 'Krimer']",0.0256,0.413,214722,0.995,0,9,0.589,1.172,1,0.441,72.991,4,0.0748,,,0.0748,Angry
52,Fire Hazard,"['Ruthless', 'Crude Intentions', 'GLDY LX']",0.0128,0.594,185596,0.953,0,6,0.215,-3.113,1,0.159,149.951,4,0.548,-0.9963,-0.9963,0.5281,Angry
53,Needed U,['Gammer'],0.123,0.543,251200,0.897,0.0513,4,0.0892,-4.1,0,0.0871,74.987,4,0.156,-0.9786,-0.9786,0.1364,Angry
54,Fight Through The Pain,"['Excision', 'Sullivan King']",0.000456,0.459,251913,0.926,0.755,6,0.101,-3.839,1,0.101,149.936,4,0.111,-0.9967,-0.9967,0.0911,Angry
55,My Enemies,['Degos & Re-Done'],0.111,0.468,237665,0.978,0.000515,11,0.247,-0.576,1,0.126,155.044,3,0.385,,,0.385,Angry
56,Jackhammer,"['SNAILS', 'Krimer']",0.0544,0.417,204800,0.996,0.0602,1,0.25,-0.455,1,0.471,149.851,4,0.174,0.8402,0.8402,0.1908,Angry
57,The Heist,"['Ressurectz', 'Cryex']",0.01,0.381,261573,0.937,0.000337,5,0.36,-3.989,0,0.154,155.032,4,0.152,-0.2732,-0.2732,0.1465,Angry
58,Go Back,"['Gino', 'Pastry Maker']",0.185,0.628,270698,0.876,0.0178,2,0.0717,-2.905,1,0.147,85.987,4,0.19,0.8997,0.8997,0.208,Angry
59,Vulcano Action - Reevoid Remix,"['Art Of Fighters', 'Reevoid']",0.05,0.519,174607,0.975,0.00221,4,0.134,-7.156,0,0.163,177.974,4,0.416,,,0.416,Angry
60,Rumble,"['Excision', 'Space Laces']",0.000209,0.312,282835,0.892,0.809,4,0.101,-2.529,1,0.0666,112.639,3,0.033,0.9186,0.9186,0.0514,Angry
61,Inner Strength,"['Degos & Re-Done', 'B-Front']",0.00283,0.46,237290,0.931,0.208,10,0.394,-3.681,0,0.161,155.089,4,0.123,,,0.123,Angry
62,Burn,['SAYMYNAME'],0.0786,0.609,209032,0.984,0.0302,11,0.372,-4.863,1,0.774,154.972,4,0.263,-0.9994,-0.9994,0.243,Angry
63,Wildchild,"['The Bloody Beetroots', 'Ephwurd']",0.000161,0.699,201231,0.969,0.475,11,0.0861,-1.703,0,0.12,130.015,4,0.609,,,0.609,Angry
64,Blitz (feat. Virus Syndicate),"['Riot Ten', 'Krimer', 'Virus Syndicate']",0.0224,0.696,246400,0.992,3.75E-06,2,0.395,-0.245,1,0.283,150.043,4,0.455,,,0.455,Angry
65,The Unlimited Power,['MYST'],0.000512,0.41,221553,0.94,2.07E-05,6,0.257,-2.026,0,0.0385,155.03,3,0.142,-0.9945,-0.9945,0.1221,Angry
66,FOREVER,"['Kayzo', 'Gammer']",0.314,0.496,385000,0.939,0.0129,5,0.107,-3.44,0,0.434,149.905,4,0.084,0.9968,0.9968,0.1039,Angry
67,SOULTAKER,"['ARTIX!', 'Berrix']",0.00709,0.472,238345,0.997,0.000238,2,0.506,0.223,1,0.859,144.842,4,0.0768,,,0.0768,Angry
68,FTF,"['Rio Bakoo', 'Alieff Green']",0.0647,0.752,253205,0.991,0.876,8,0.202,-0.202,1,0.0518,128.007,4,0.126,,,0.126,Angry
69,Warp 2.019 (feat. Steve Aoki) - Steve Aoki & Kayzo Remix,"['The Bloody Beetroots', 'Steve Aoki', 'Kayzo']",0.000703,0.664,194887,0.994,0.78,1,0.899,-1.878,1,0.0716,132.982,4,0.0377,0.9669,0.9669,0.057,Angry
70,Open Up,"['Felguk', 'INGEK']",0.000509,0.799,158185,0.908,0.799,1,0.057,-5.794,1,0.0826,124.015,4,0.212,0.988,0.988,0.2318,Angry
71,Blinded,['Degos & Re-Done'],0.000112,0.235,209032,0.949,0.00132,11,0.39,-3.665,1,0.0725,154.964,4,0.164,,,0.164,Angry
72,Chaos,['Criminal Mayhem'],0.11,0.549,234774,0.983,0.0173,4,0.148,-4.243,0,0.169,154.981,4,0.247,-0.9719,-0.9719,0.2276,Angry
73,Times Gettin' Hard (JNXD Remix),"['Coone', 'K19', 'JNXD']",0.0699,0.61,206226,0.955,0,11,0.328,-3.305,0,0.331,154.999,4,0.439,,,0.439,Angry
74,Lost (Radio Edit),['Invicta'],0.00577,0.539,277076,0.75,0.345,1,0.215,-13.848,1,0.0409,94.978,4,0.1,1,1,0.12,Angry
75,Ain't Scared (feat. Hashu),"['Riot Ten', 'PIERCE', 'Hashu']",0.000705,0.516,202967,0.946,2.73E-05,1,0.11,-4.639,1,0.347,150.112,4,0.265,0.9999,0.9999,0.285,Angry
76,Das Weite Land - Digital Punk Fragments Remix,"['Jack Of Sound', 'Alpha²', 'Digital Punk']",0.0277,0.322,246973,0.926,3.93E-05,11,0.374,-3.35,1,0.0703,154.929,4,0.142,,,0.142,Angry
77,Vampire,"['Radical Redemption', 'Noisecontrollers']",0.0238,0.283,209900,0.933,0.195,5,0.206,-3.481,1,0.184,155.069,3,0.0838,1,1,0.1038,Angry
78,BANG,"['NGHTMRE', ""Shaquille O'Neal"", 'Lil Jon']",0.00303,0.68,203750,0.988,4.39E-05,3,0.299,-2.579,0,0.0941,144.03,4,0.176,-0.4939,-0.4939,0.1661,Angry
79,Stay (feat. Micah Martin),"['Bear Grillz', 'Micah Martin']",0.00878,0.522,204958,0.759,0.000133,1,0.118,-4.404,1,0.0795,133.863,1,0.233,,,0.233,Angry
80,Say My Name,"['SAYMYNAME', 'Lil Debbie']",0.0228,0.58,209600,0.949,9.38E-05,0,0.789,-3.684,1,0.219,149.868,4,0.548,0.8266,0.8266,0.5645,Angry
81,Pumping Guns,['Hardfunction'],0.064,0.597,230714,0.962,4.20E-05,6,0.0738,-3.067,0,0.0605,154.953,4,0.723,,,0.723,Angry
82,All The Smoke (feat. Bok Nero),"['Riot Ten', 'Stoutty', 'Bok Nero']",0.0151,0.575,140202,0.948,1.37E-05,11,0.111,-3.161,0,0.347,150.256,4,0.552,-0.857,-0.857,0.5349,Angry
83,Lose Control,"['Haus of Panda', 'Fahjah']",0.000658,0.64,211200,0.994,0.543,6,0.106,-3.449,0,0.275,150.027,4,0.398,-0.9953,-0.9953,0.3781,Angry
84,El Diablo,"['Carnage', 'Sludge']",0.388,0.259,211217,0.734,0.024,0,0.378,-5.663,1,0.241,148.825,4,0.0357,0.8445,0.8445,0.0526,Angry
85,Fire Riddim,['No Concept'],2.41E-05,0.378,271724,0.955,0.704,5,0.114,-2.43,0,0.0506,174.114,4,0.0371,0.9213,0.9213,0.0555,Angry
86,Hit 'm,['Primeshock'],0.000573,0.436,225504,0.986,0.0494,1,0.214,-3.042,1,0.0453,149.983,4,0.48,,,0.48,Angry
87,Rockstar,['The Last Projkt'],0.000902,0.528,183204,0.892,0.0454,2,0.677,-5.039,1,0.0421,149.972,4,0.0647,-0.9912,-0.9912,0.0449,Angry
88,Heavyweight Sound (feat. RD),"['Bassnectar', 'Jantsen', 'RD']",0.0044,0.596,278571,0.871,0.0581,11,0.168,-2.616,1,0.0486,150.018,4,0.277,,,0.277,Angry
89,THE DROP,['Gammer'],0.00664,0.565,232158,0.988,0.0508,9,0.0935,-1.448,1,0.145,150.05,4,0.0316,-0.9814,-0.9814,0.012,Angry
90,Survivor,"['Blasco', 'Pherato']",0.00196,0.502,169600,0.867,0.029,5,0.112,-5.743,0,0.0326,150.11,4,0.164,0.8817,0.8817,0.1816,Angry
91,Make Some Noise,['Neutronix'],0.0649,0.728,261545,0.998,1.28E-06,10,0.181,-2.849,1,0.225,109.964,4,0.0638,0.999,0.999,0.0838,Angry
92,Gore On The Dancefloor,"['Borgore', 'MOONBOY', 'Rico Act']",0.0571,0.735,201931,0.98,0,0,0.302,-0.136,0,0.355,144.97,4,0.4,-0.9973,-0.9973,0.3801,Angry
93,Prophecy,['Slooze'],0.00035,0.536,244364,0.517,0.871,0,0.0605,-4.26,1,0.0367,109.96,4,0.0351,-0.9831,-0.9831,0.0154,Angry
94,The Joker,"['Kronos', 'RVAGE']",0.00106,0.499,210581,0.986,0.0343,10,0.282,-3.18,0,0.159,155.087,4,0.254,1,1,0.274,Angry
95,The Get Down,"['Mike Cervello', 'Dither']",0.0461,0.663,196500,0.992,0.63,1,0.0854,-2.02,1,0.16,160.016,4,0.478,-0.9998,-0.9998,0.458,Angry
96,Psycho,"['Ghastly', 'MOONBOY']",0.0161,0.41,260172,0.985,0.000238,2,0.422,-1.537,1,0.506,144.962,4,0.171,0.7884,0.7884,0.1868,Angry
97,Guru,['NAZAAR'],0.33,0.522,224000,0.914,0.0956,2,0.227,-1.627,1,0.0865,150.074,4,0.0762,-0.5789,-0.5789,0.0646,Angry
98,The Scream,"['Billx', 'Creeds']",0.000488,0.255,274956,0.971,0.637,8,0.0633,-3.014,1,0.0979,159.988,4,0.0674,-0.8442,-0.8442,0.0505,Angry
99,RAWSIDE,"['GRAVEDGR', 'Lit Lords']",0.071,0.59,204182,0.97,0.00442,11,0.295,-4.135,1,0.287,82.529,4,0.119,-0.9992,-0.9992,0.099,Angry
