,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,nlp_lyrics,nlp_annotations,valence+nlp,mood
34,Sip,['Chris Brown'],0.0838,0.686,197285,0.448,0.0,11,0.099,-8.107,0,0.0791,105.04,4,0.197,0.6373,0.6373,0.2097,Aroused
35,Needs,['ELHAE'],0.661,0.51,205640,0.331,0.0,11,0.123,-13.073,0,0.0895,124.657,4,0.225,0.9967,0.9967,0.2449,Aroused
36,Adorn,['Miguel'],0.0543,0.625,193147,0.576,4.07e-05,11,0.187,-5.693,0,0.175,179.063,4,0.235,0.9978,0.9978,0.255,Aroused
37,Waiting for You,"['Rexx Life Raj', 'Russ']",0.828,0.774,211470,0.631,0.000291,6,0.131,-10.121,1,0.119,127.979,4,0.641,0.6296,0.6296,0.6536,Aroused
38,Morning,"['Teyana Taylor', 'Kehlani']",0.677,0.579,253947,0.632,0.0,3,0.0892,-7.732,0,0.0918,120.262,3,0.76,-0.9917,-0.9917,0.7402,Aroused
39,Planez,"['Jeremih', 'J. Cole']",0.686,0.658,240320,0.544,0.0,6,0.112,-7.748,1,0.344,129.09,4,0.401,-0.988,-0.988,0.3812,Aroused
40,It Won't Stop (feat. Chris Brown) - EP Version,"['Sevyn Streeter', 'Chris Brown']",0.016,0.657,281080,0.574,8.1e-05,1,0.172,-9.484,0,0.0407,119.992,4,0.211,0.9709,0.9709,0.2304,Aroused
41,Night Calls,['Yo Trane'],0.133,0.86,215316,0.471,0.0,10,0.115,-11.248,0,0.235,139.951,4,0.377,-0.5603,-0.5603,0.3658,Aroused
42,My Boo,"['Usher', 'Alicia Keys']",0.257,0.662,223440,0.507,0.0,5,0.0465,-8.238,1,0.118,86.412,4,0.676,0.9857,0.9857,0.6957,Aroused
43,Heat (feat. Gunna),"['Chris Brown', 'Gunna']",0.0607,0.62,232733,0.613,0.0,0,0.117,-5.83,1,0.0795,82.43,4,0.483,0.0186,0.0186,0.4834,Aroused
44,"idc bout the club, i just want you",['Kalin White'],0.312,0.67,164101,0.614,0.0,0,0.132,-7.276,1,0.0373,94.033,4,0.243,0.865,0.865,0.2603,Aroused
45,Run My Mouth,['Ella Mai'],0.567,0.556,155157,0.435,0.0,6,0.115,-4.013,0,0.0971,80.257,5,0.445,0.8945,0.8945,0.4629,Aroused
46,Say It,['Tory Lanez'],0.0862,0.546,237787,0.529,6.5e-06,11,0.124,-10.511,0,0.0583,107.331,4,0.247,0.9872,0.9872,0.2667,Aroused
47,Hello Ego,"['Jhené Aiko', 'Chris Brown']",0.143,0.726,228133,0.476,0.0,0,0.22,-9.424,1,0.0758,120.079,4,0.392,-0.9991,-0.9991,0.372,Aroused
48,Take You Down,['Chris Brown'],0.126,0.387,245933,0.631,0.0,11,0.0666,-5.79,0,0.0807,59.409,4,0.589,0.9982,0.9982,0.609,Aroused
49,Bad Intentions,"['Niykee Heaton', 'Migos', 'OG Parker']",0.26,0.747,245723,0.716,0.0,11,0.0907,-5.071,0,0.0798,123.979,4,0.487,-0.9971,-0.9971,0.4671,Aroused
50,Beretta,['Matt Black'],0.0872,0.533,234000,0.622,1.86e-06,0,0.124,-7.508,1,0.3,160.025,4,0.3,-0.9983,-0.9983,0.28,Aroused
51,Make Up Sex,['SoMo'],0.157,0.714,222853,0.584,0.0,4,0.227,-5.355,0,0.0345,109.995,4,0.434,0.9854,0.9854,0.4537,Aroused
52,F N Sexy,['JAHKOY'],0.0935,0.753,207613,0.592,1.01e-05,6,0.0922,-5.836,0,0.197,84.108,4,0.544,0.9988,0.9988,0.564,Aroused
53,Drowning,['Mario'],0.278,0.717,218627,0.479,0.0,9,0.129,-5.844,1,0.0471,113.076,4,0.185,-0.9972,-0.9972,0.1651,Aroused
54,BEDROOM VIBES,['Sylvia Erla'],0.471,0.775,204091,0.37,0.0,6,0.0894,-8.203,0,0.0524,131.95,4,0.608,0.9943,0.9943,0.6279,Aroused
