,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,nlp_lyrics,nlp_annotations,valence+nlp,mood
40,Sunyata,['Sureborn'],0.959,0.299,253208,0.11,0.861,8,0.105,-21.916,1,0.0347,77.83,3,0.0394,,,0.0394,Calm
41,Sleep Spirits,['chillchild'],0.894,0.268,160000,0.06,0.694,8,0.114,-20.891,1,0.051,119.834,3,0.352,0.9999,0.9999,0.372,Calm
42,Depths of Eternity,['William Roud'],0.96,0.129,178371,0.0488,0.904,11,0.108,-23.641,1,0.037,68.8,4,0.0352,1.0,1.0,0.0552,Calm
43,Umbrian Affair,['Lena Bickeby'],0.977,0.0906,165000,0.0411,0.899,0,0.12,-21.477,1,0.0382,77.156,4,0.0533,,,0.0533,Calm
44,Kaksi,['Ukkonen'],0.248,0.597,419120,0.139,0.897,0,0.0847,-26.804,1,0.0435,120.003,5,0.289,0.0,0.0,0.289,Calm
45,Motion,['Balam Acab'],0.321,0.493,243140,0.714,0.842,9,0.111,-10.267,1,0.0715,114.002,4,0.0561,,,0.0561,Calm
46,Kepesh,['Arms and Sleepers'],0.151,0.678,328125,0.663,0.96,1,0.0666,-10.035,1,0.0535,87.99,4,0.338,,,0.338,Calm
47,Glaciers,['Night Sounds'],0.0197,0.429,184186,0.461,0.878,7,0.115,-15.797,0,0.0438,171.95,4,0.0958,0.9996,0.9996,0.1158,Calm
48,Carmel,['Teen Daze'],0.7,0.689,228250,0.602,0.885,8,0.107,-9.053,1,0.0324,119.999,4,0.635,0.9954,0.9954,0.6549,Calm
49,Aquarium,['Casino Versus Japan'],0.774,0.609,299040,0.366,0.951,1,0.219,-14.752,1,0.0532,75.008,3,0.49,1.0,1.0,0.51,Calm
50,A Brief Walk in the Sea,['Near The Parenthesis'],0.746,0.16,424867,0.571,0.92,10,0.131,-12.42,1,0.0473,190.89,3,0.183,1.0,1.0,0.203,Calm
51,Mývatna,['Dreyma'],0.942,0.191,270933,0.211,0.869,8,0.111,-18.551,0,0.0384,137.339,5,0.054,,,0.054,Calm
52,The Sign of Wilderness,['Tenant Rights'],0.833,0.0783,219569,0.00185,0.95,2,0.112,-27.693,1,0.0488,169.939,5,0.0369,-0.9998,-0.9998,0.0169,Calm
53,Selina's Lullaby,['Phabels'],0.911,0.173,138500,0.0768,0.951,5,0.0926,-25.439,1,0.0341,91.807,4,0.0664,,,0.0664,Calm
54,Kanta's Theme,['Chris Walla'],0.912,0.209,402893,0.0616,0.894,2,0.102,-21.856,1,0.0381,77.326,3,0.0378,-1.0,-1.0,0.0178,Calm
55,Calhau Cave,['Firestore'],0.0713,0.477,263473,0.444,0.966,9,0.385,-9.724,0,0.032,182.039,4,0.0802,,,0.0802,Calm
56,Back to the Start,['The Album Leaf'],0.028,0.561,286960,0.741,0.942,2,0.11,-8.775,1,0.0394,108.019,4,0.235,,,0.235,Calm
57,Perfect Morning - Speck from CYNE Remix,"['Long Arm', 'Speck From CYNE']",0.943,0.396,264093,0.743,0.891,0,0.126,-8.319,1,0.0339,194.068,3,0.385,1.0,1.0,0.405,Calm
58,Aberdeen,['Bridge Dwellers'],0.927,0.21,196000,0.0526,0.899,0,0.132,-30.112,1,0.0481,136.501,5,0.0284,,,0.0284,Calm
59,Awash,['Manual'],0.00193,0.591,339000,0.742,0.875,0,0.196,-9.644,1,0.0251,130.005,4,0.576,0.9999,0.9999,0.596,Calm
60,Into The Sea,['Port Blue'],0.0269,0.66,142173,0.654,0.742,1,0.116,-9.382,1,0.0385,109.974,4,0.212,,,0.212,Calm
61,Not Going Back To The Harbour - Dauwd Remix,"['Lanterns on the Lake', 'Dauwd Muhammad']",0.155,0.668,253548,0.286,0.87,6,0.115,-19.987,1,0.0575,124.001,4,0.27,,,0.27,Calm
62,Glow,['Szymon Kowalczyk'],0.936,0.227,145714,0.104,0.891,9,0.0851,-24.55,0,0.0352,74.371,4,0.037,,,0.037,Calm
63,Surface,['Lerone Gios'],0.972,0.267,126774,0.019,0.904,1,0.123,-36.187,1,0.0386,123.687,4,0.037,0.9999,0.9999,0.057,Calm
64,Song For No One,['Lowercase Noises'],0.845,0.174,301397,0.244,0.943,9,0.112,-16.279,1,0.0398,71.695,4,0.0318,,,0.0318,Calm
65,160512,['New Mountain'],0.405,0.634,148902,0.118,0.943,7,0.0944,-15.965,1,0.0573,164.053,4,0.225,,,0.225,Calm
