,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,nlp_lyrics,nlp_annotations,valence+nlp,mood
111,Tükörsima,['Vas Bela'],0.995,0.181,258500,0.00235,0.772,9,0.111,-39.142,1,0.042,69.995,4,0.102,,,0.102,Sleepy
112,Ik Ga Slapen,['Pauline Huijbers'],0.878,0.0923,170500,0.0257,0.575,2,0.0855,-30.954,1,0.0427,64.47,4,0.103,,,0.103,Sleepy
113,Schlafmittel,['Felix Hertzog'],0.938,0.152,168000,0.012,0.805,0,0.101,-34.256,1,0.0458,68.978,3,0.0939,,,0.0939,Sleepy
114,Along The Way,['Yasmin Gough'],0.995,0.208,198000,0.00762,0.713,11,0.0912,-35.606,0,0.0386,71.172,3,0.193,0.9998,0.9998,0.213,Sleepy
115,Coral Reef,['Paradise Sunset'],0.94,0.224,225000,0.147,0.959,7,0.0849,-23.304,1,0.037,65.524,4,0.0378,1.0,1.0,0.0578,Sleepy
116,Infinity,['Mind Explorer'],0.944,0.354,203113,0.121,0.87,9,0.0898,-23.911,0,0.0352,134.917,4,0.0506,-0.9889,-0.9889,0.0308,Sleepy
117,Constants,['Melody Leonard'],0.856,0.0827,168750,0.0588,0.872,2,0.111,-27.505,0,0.0403,79.24,5,0.0469,1.0,1.0,0.0669,Sleepy
118,Dreaming,['Wes Jools'],0.992,0.212,194649,0.003,0.905,4,0.111,-38.389,1,0.0395,69.371,5,0.132,1.0,1.0,0.152,Sleepy
119,Fremen’s Fields,['Robin Laureli'],0.976,0.104,196500,0.00641,0.958,8,0.129,-35.69,1,0.0422,75.235,3,0.0567,,,0.0567,Sleepy
120,Tenderly,['Elfva'],0.978,0.181,179972,0.121,0.922,4,0.101,-24.985,0,0.0503,89.541,3,0.119,0.9995,0.9995,0.139,Sleepy
121,Ever Since You,['Ethan Beckett'],0.967,0.27,142634,0.00161,0.949,0,0.101,-36.035,0,0.0498,93.827,1,0.117,,,0.117,Sleepy
122,Above The Sky,['Indecent Sound'],0.932,0.076,190654,0.0268,0.908,5,0.117,-33.368,1,0.0383,70.222,4,0.0392,0.5183,0.5183,0.0496,Sleepy
123,Hister Ilands,['Joseph Alphane'],0.879,0.109,171648,0.0945,0.866,5,0.1,-26.54,0,0.0399,68.411,4,0.0412,,,0.0412,Sleepy
124,Arild,['Maja Balder'],0.964,0.202,235500,0.00847,0.918,9,0.0777,-34.229,1,0.0408,65.779,4,0.135,,,0.135,Sleepy
125,Ngày Mai,['Haleema Pham'],0.977,0.147,190000,0.0195,0.705,0,0.0822,-35.189,1,0.0383,75.165,4,0.231,,,0.231,Sleepy
126,Reflections,['Mindezer'],0.965,0.169,189774,0.124,0.842,5,0.108,-24.993,1,0.0385,71.304,4,0.0386,1.0,1.0,0.0586,Sleepy
127,Enhanced Forest,['Nity Nite'],0.877,0.287,196800,0.0886,0.832,10,0.1,-26.54,0,0.0328,100.076,4,0.219,1.0,1.0,0.239,Sleepy
128,Humming,['Iselinn'],0.987,0.284,176227,0.0291,0.959,0,0.129,-27.051,1,0.0448,66.173,3,0.038,,,0.038,Sleepy
129,Cryogenic,['Gyr'],0.846,0.182,152727,0.0195,0.928,4,0.111,-33.873,1,0.0347,71.361,5,0.0376,-0.8448,-0.8448,0.0207,Sleepy
130,Morning Mist Rising,['Shibb'],0.961,0.0685,229737,0.00465,0.883,2,0.109,-34.411,0,0.0498,76.787,5,0.0378,1.0,1.0,0.0578,Sleepy
131,Divine,['Rainbow Rise'],0.84,0.0614,187200,0.0376,0.732,0,0.111,-24.091,1,0.0497,59.507,4,0.0337,0.996,0.996,0.0536,Sleepy
132,Kissing the Ambience,['Mind Explorer'],0.971,0.303,186277,0.0234,0.926,2,0.106,-30.495,1,0.0378,66.706,5,0.116,0.9998,0.9998,0.136,Sleepy
133,Calibration of the Mind,['Sleep Lab'],0.95,0.191,155943,0.122,0.889,0,0.0961,-22.429,0,0.0458,65.449,3,0.0335,-1.0,-1.0,0.0135,Sleepy
134,Homelands,['Staffa Iona'],0.924,0.159,180722,0.00871,0.871,2,0.0981,-35.772,1,0.0383,65.713,4,0.0399,1.0,1.0,0.0599,Sleepy
135,Ad meliora,['Nikolaj Geisler'],0.991,0.169,158500,0.00362,0.853,9,0.104,-33.411,1,0.0417,77.566,5,0.0537,,,0.0537,Sleepy
